country_key,country,region
argentina,Argentina,America
brazil,Brazil,America
colombia,Colombia,America
egypt,Egypt,Africa
france,France,Europe
germany,Germany,Europe
ghana,Ghana,Africa
great britain,United Kingdom,Europe
india,India,Asia
italy,Italy,Europe
japan,Japan,Asia
kenya,Kenya,Africa
"korea, south",South Korea,Asia
mexico,Mexico,America
nigeria,Nigeria,Africa
singapore,Singapore,Asia
south africa,South Africa,Africa
south korea,South Korea,Asia
spain,Spain,Europe
thailand,Thailand,Asia
uk,United Kingdom,Europe
united kingdom,United Kingdom,Europe
united states,United States,America
us,United States,America
usa,United States,America
