Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Clayton Kershaw,35,13,5,0.722,2.46,24,24,0,0,0,0,131.2,100,39,36,19,40,0,137,3,2,6,523,177,4.03,1.063,6.8,1.3,2.7,9.4,3.43,Left,No
2,2023,SP,Bobby Miller,24,11,4,0.733,3.76,22,22,0,0,0,0,124.1,105,53,52,12,32,0,119,6,0,10,505,116,3.51,1.102,7.6,0.9,2.3,8.6,3.72,Right,No
3,2023,SP,Julio Urías,26,11,8,0.579,4.6,21,21,0,0,0,0,117.1,112,61,60,24,24,0,117,6,1,2,482,95,4.69,1.159,8.6,1.8,1.8,9.0,4.88,Left,No
4,2023,SP,Tony Gonsolin,29,8,5,0.615,4.98,20,20,0,0,0,0,103.0,86,61,57,19,40,1,82,7,0,2,435,87,5.43,1.223,7.5,1.7,3.5,7.2,2.05,Right,No
5,2023,SP,Michael Grove,26,2,3,0.4,6.13,18,12,1,0,0,0,69.0,83,47,47,12,19,0,73,3,0,3,302,71,4.36,1.478,10.8,1.6,2.5,9.5,3.84,Right,No
6,2023,SP,Noah Syndergaard,30,1,4,0.2,7.16,12,12,0,0,0,0,55.1,71,44,44,12,9,0,38,6,0,0,246,61,5.51,1.446,11.5,2.0,1.5,6.2,4.22,Right,No
7,2023,CL,Evan Phillips,28,2,4,0.333,2.05,62,0,36,0,0,24,61.1,38,19,14,6,13,2,66,3,0,1,234,212,3.16,0.832,5.6,0.9,1.9,9.7,5.08,Right,No
8,2023,RP,Brusdar Graterol,24,4,2,0.667,1.2,68,1,19,0,0,7,67.1,53,14,9,3,12,1,48,2,0,2,257,363,3.03,0.965,7.1,0.4,1.6,6.4,4.0,Right,No
9,2023,RP,Caleb Ferguson,26,7,4,0.636,3.43,68,7,9,0,0,3,60.1,64,30,23,4,23,0,70,8,0,3,270,127,3.34,1.442,9.5,0.6,3.4,10.4,3.04,Left,No
10,2023,RP,Alex Vesia,27,2,5,0.286,4.35,56,1,10,0,0,1,49.2,52,27,24,7,17,3,64,2,0,2,217,100,3.66,1.389,9.4,1.3,3.1,11.6,3.76,Left,No
11,2023,RP,Yency Almonte,29,3,2,0.6,5.06,49,0,5,0,0,0,48.0,43,30,27,6,24,2,49,4,0,3,208,86,4.59,1.396,8.1,1.1,4.5,9.2,2.04,Right,No
12,2023,,Lance Lynn,36,7,2,0.778,4.36,11,11,0,0,0,0,64.0,59,33,31,16,22,0,47,2,0,0,273,100,6.16,1.266,8.3,2.3,3.1,6.6,2.14,Right,No
13,2023,,Emmet Sheehan,23,4,1,0.8,4.92,13,11,1,0,0,1,60.1,46,33,33,11,26,0,64,1,0,1,248,89,4.85,1.193,6.9,1.6,3.9,9.5,2.46,Right,No
14,2023,,Dustin May,25,4,1,0.8,2.63,9,9,0,0,0,0,48.0,29,14,14,1,16,0,34,2,0,1,187,167,3.23,0.938,5.4,0.2,3.0,6.4,2.13,Right,No
15,2023,,Shelby Miller,32,3,0,1.0,1.71,36,1,12,0,0,1,42.0,19,8,8,3,19,2,42,2,0,1,163,255,3.68,0.905,4.1,0.6,4.1,9.0,2.21,Right,No
16,2023,,Phil Bickford,27,2,3,0.4,5.14,36,0,12,0,0,0,42.0,38,27,24,5,26,3,48,0,1,3,190,85,4.37,1.524,8.1,1.1,5.6,10.3,1.85,Right,No
17,2023,,Ryan Pepiot,25,2,1,0.667,2.14,8,3,0,0,0,0,42.0,27,10,10,7,5,0,38,3,0,0,159,204,4.18,0.762,5.8,1.5,1.1,8.1,7.6,Right,No
18,2023,,Ryan Brasier,35,2,0,1.0,0.7,39,0,5,0,0,1,38.2,18,6,3,1,10,1,38,1,0,1,143,627,2.48,0.724,4.2,0.2,2.3,8.8,3.8,Right,No
19,2023,,Ryan Yarbrough,31,4,2,0.667,4.89,11,2,4,0,0,2,38.2,44,21,21,8,5,0,38,2,0,0,165,90,4.52,1.267,10.2,1.9,1.2,8.8,7.6,Left,No
