show_id,show_date,month,region,country,city,event_type,capacity,tickets_sold,ticket_price,marketing_spend,fan_rating
WS0001,2026-01-04,Jan,Asia,Japan,Tokyo,Festival,20600,17590,80,14910,4.5
WS0002,2026-01-18,Jan,Asia,Japan,Tokyo,Stadium Show,42300,34010,101,0,
WS0003,2026-02-04,Feb,Asia,Japan,Tokyo,Stadium Show,46300,39640,96,0,
WS0004,2026-02-18,Feb,Asia,Japan,Tokyo,Festival,20000,15900,76,18351,4.8
WS0005,2026-03-04,Mar,Asia,Japan,Tokyo,Festival,19400,15830,77,0,4.8
WS0006,2026-03-18,Mar,Asia,Japan,Tokyo,Stadium Show,44400,35080,105,43519,4.6
WS0007,2026-04-04,Apr,Asia,Japan,Tokyo,Stadium Show,39200,33850,96,0,4.6
WS0008,2026-04-18,Apr,Asia,Japan,Tokyo,Festival,20400,14580,80,20111,
WS0009,2026-05-04,May,Asia,Japan,Tokyo,Festival,21300,18590,86,17344,4.8
WS0010,2026-05-18,May,Asia,Japan,Tokyo,Stadium Show,42800,38090,96,36921,4.8
WS0011,2026-06-04,Jun,Asia,Japan,Tokyo,Stadium Show,38500,32290,95,23930,4.4
WS0012,2026-06-18,Jun,Asia,Japan,Tokyo,Festival,21100,18420,79,11032,4.5
WS0013,2026-07-04,Jul,Asia,Japan,Tokyo,Festival,20600,17380,77,0,4.6
WS0014,2026-07-18,Jul,Asia,Japan,Tokyo,Stadium Show,46400,33850,96,0,
WS0015,2026-08-04,Aug,Asia,Japan,Tokyo,Stadium Show,46800,37080,94,0,4.4
WS0016,2026-08-18,Aug,Asia,Japan,Tokyo,Festival,22900,20580,84,21969,4.7
WS0017,2026-09-04,Sep,Asia,Japan,Tokyo,Festival,21000,15730,80,17583,4.3
WS0018,2026-09-18,Sep,Asia,Japan,Tokyo,Stadium Show,39500,31630,99,23684,4.4
WS0019,2026-10-04,Oct,Asia,Japan,Tokyo,Stadium Show,41800,34560,99,31199,4.7
WS0020,2026-10-18,Oct,Asia,Japan,Tokyo,Festival,20700,16890,88,0,4.6
WS0021,2026-11-04,Nov,Asia,Japan,Tokyo,Festival,21800,17510,81,12552,
WS0022,2026-11-18,Nov,Asia,Japan,Tokyo,Stadium Show,45300,35530,100,25483,4.5
WS0023,2026-12-04,Dec,Asia,Japan,Tokyo,Stadium Show,37200,27890,97,34806,4.7
WS0024,2026-12-18,Dec,Asia,Japan,Tokyo,Festival,21900,18130,77,12565,
WS0025,2026-01-05,Jan,Asia,South Korea,Seoul,Club Show,2800,2440,75,2277,4.8
WS0026,2026-01-19,Jan,Asia,South Korea,Seoul,Arena Show,12400,10600,88,10145,4.7
WS0027,2026-02-05,Feb,Asia,South Korea,Seoul,Arena Show,10700,9230,92,0,4.9
WS0028,2026-02-19,Feb,Asia,South Korea,Seoul,Club Show,2700,2350,73,2489,4.7
WS0029,2026-03-05,Mar,Asia,South Korea,Seoul,Club Show,3000,2950,67,2963,4.7
WS0030,2026-03-19,Mar,Asia,South Korea,Seoul,Arena Show,11100,10360,90,0,4.5
WS0031,2026-04-05,Apr,Asia,South Korea,Seoul,Arena Show,11000,10130,93,11471,4.3
WS0032,2026-04-19,Apr,Asia,South Korea,Seoul,Club Show,2600,2140,68,2413,4.5
WS0033,2026-05-05,May,Asia,South Korea,Seoul,Club Show,2600,2590,70,0,4.7
WS0034,2026-05-19,May,Asia,South Korea,Seoul,Arena Show,11200,10600,88,11075,4.5
WS0035,2026-06-05,Jun,Asia,South Korea,Seoul,Arena Show,10600,9770,92,8047,4.3
WS0036,2026-06-19,Jun,Asia,South Korea,Seoul,Club Show,2900,2760,68,1653,4.7
WS0037,2026-07-05,Jul,Asia,South Korea,Seoul,Club Show,2600,2440,64,2219,4.8
WS0038,2026-07-19,Jul,Asia,South Korea,Seoul,Arena Show,11900,10560,86,10857,4.6
WS0039,2026-08-05,Aug,Asia,South Korea,Seoul,Arena Show,12000,10060,87,11522,
WS0040,2026-08-19,Aug,Asia,South Korea,Seoul,Club Show,2800,2520,72,0,4.4
WS0041,2026-09-05,Sep,Asia,South Korea,Seoul,Club Show,3000,2510,73,0,4.6
WS0042,2026-09-19,Sep,Asia,South Korea,Seoul,Arena Show,13200,10860,90,7046,4.5
WS0043,2026-10-05,Oct,Asia,South Korea,Seoul,Arena Show,12100,11160,85,9296,4.7
WS0044,2026-10-19,Oct,Asia,South Korea,Seoul,Club Show,2500,2300,66,2423,4.8
WS0045,2026-11-05,Nov,Asia,South Korea,Seoul,Club Show,2600,2170,75,2265,4.5
WS0046,2026-11-19,Nov,Asia,South Korea,Seoul,Arena Show,11000,9810,95,9175,4.4
WS0047,2026-12-05,Dec,Asia,South Korea,Seoul,Arena Show,13300,11640,84,9452,4.5
WS0048,2026-12-19,Dec,Asia,South Korea,Seoul,Club Show,3100,2590,65,0,4.7
WS0049,2026-01-06,Jan,Asia,Singapore,Singapore,Stadium Show,42400,34820,102,0,
WS0050,2026-01-20,Jan,Asia,Singapore,Singapore,Festival,21300,16310,85,17046,4.8
WS0051,2026-02-06,Feb,Asia,Singapore,Singapore,Festival,23400,19230,80,15042,4.6
WS0052,2026-02-20,Feb,Asia,Singapore,Singapore,Stadium Show,47000,38280,106,23259,4.5
WS0053,2026-03-06,Mar,Asia,Singapore,Singapore,Stadium Show,41200,31840,99,22414,4.4
WS0054,2026-03-20,Mar,Asia,Singapore,Singapore,Festival,23700,19440,84,20818,
WS0055,2026-04-06,Apr,Asia,Singapore,Singapore,Festival,20700,16570,77,19708,4.5
WS0056,2026-04-20,Apr,Asia,Singapore,Singapore,Stadium Show,45400,36870,94,44198,4.9
WS0057,2026-05-06,May,Asia,Singapore,Singapore,Stadium Show,43700,39550,95,24999,4.2
WS0058,2026-05-20,May,Asia,Singapore,Singapore,Festival,21600,17880,88,11942,4.7
WS0059,2026-06-06,Jun,Asia,Singapore,Singapore,Festival,22700,19170,88,21662,
WS0060,2026-06-20,Jun,Asia,Singapore,Singapore,Stadium Show,43900,33790,96,35262,
WS0061,2026-07-06,Jul,Asia,Singapore,Singapore,Stadium Show,39400,34130,102,18643,4.5
WS0062,2026-07-20,Jul,Asia,Singapore,Singapore,Festival,23800,17100,85,17767,4.2
WS0063,2026-08-06,Aug,Asia,Singapore,Singapore,Festival,24200,22000,86,20900,4.7
WS0064,2026-08-20,Aug,Asia,Singapore,Singapore,Stadium Show,42000,37620,100,26504,4.6
WS0065,2026-09-06,Sep,Asia,Singapore,Singapore,Stadium Show,45700,35100,106,0,
WS0066,2026-09-20,Sep,Asia,Singapore,Singapore,Festival,21500,17450,85,16555,4.8
WS0067,2026-10-06,Oct,Asia,Singapore,Singapore,Festival,19800,15390,78,19678,4.4
WS0068,2026-10-20,Oct,Asia,Singapore,Singapore,Stadium Show,44100,34750,102,0,4.7
WS0069,2026-11-06,Nov,Asia,Singapore,Singapore,Stadium Show,38600,32910,94,35748,4.9
WS0070,2026-11-20,Nov,Asia,Singapore,Singapore,Festival,20700,15920,83,20732,4.6
WS0071,2026-12-06,Dec,Asia,Singapore,Singapore,Festival,22400,19290,79,16480,4.6
WS0072,2026-12-20,Dec,Asia,Singapore,Singapore,Stadium Show,42700,33240,95,19473,4.7
WS0073,2026-01-07,Jan,Asia,Thailand,Bangkok,Arena Show,12400,10880,88,10898,4.5
WS0074,2026-01-21,Jan,Asia,Thailand,Bangkok,Club Show,2800,2220,76,1544,4.7
WS0075,2026-02-07,Feb,Asia,Thailand,Bangkok,Club Show,2800,2280,67,1483,
WS0076,2026-02-21,Feb,Asia,Thailand,Bangkok,Arena Show,11800,10430,93,6260,4.7
WS0077,2026-03-07,Mar,Asia,Thailand,Bangkok,Arena Show,12200,9060,90,0,4.4
WS0078,2026-03-21,Mar,Asia,Thailand,Bangkok,Club Show,2700,2270,68,1342,4.6
WS0079,2026-04-07,Apr,Asia,Thailand,Bangkok,Club Show,2800,2310,66,1525,4.5
