show_id,show_date,country_raw,event_type_raw,status_raw,capacity,tickets_sold,ticket_price_raw,marketing_spend,fan_rating
RAW0001,2026-04-18,JAPAN,festival-show,completed,20400,14580,80 USD,20111,
RAW0002,2026-08-04, Japan ,STADIUM,Complete,46800,37080,94,0,4.4
RAW0003,2026-11-18,japan,Stadium-Show,Completed ,45300,35530, 100 ,25483,4.5
RAW0004,2026-03-05,south-korea,club-show, COMPLETE ,3000,2950,$67,2963,
RAW0005,2026-06-19,"KOREA, SOUTH",CLUB SHOW ,completed,2900,2760,68 USD,,4.7
RAW0006,2026-10-05,South Korea,Arena-Show,Complete,12100,11160,85,9296,4.7
RAW0007,2026-01-20,singapore,festival-show,Completed ,21300,16310, 85 ,17046,4.8
RAW0008,2026-05-06,Singapore,STADIUM, COMPLETE ,43700,39550,$95,24999,
RAW0009,2026-08-20,SINGAPORE,Stadium-Show,completed,42000,37620,100 USD,26504,4.6
RAW0010,2026-12-06, Singapore ,festival-show,Complete,22400,19290,79,,4.6
RAW0011,2026-03-21,thailand,CLUB SHOW ,Completed ,2700,2270, 68 ,1342,4.6
RAW0012,2026-07-07,Thailand,Arena-Show, COMPLETE ,11500,10690,$85,6942,
RAW0013,2026-10-21,THAILAND,arena show ,completed,12900,11050,96 USD,11968,4.5
RAW0014,2026-02-08, India ,STADIUM,Complete,42200,31080,103,27877,4.5
RAW0015,2026-05-22,india,Stadium-Show,Completed ,45200,41290, 94 ,,4.8
RAW0016,2026-09-08,India,festival-show,cancelled ,24100,0,$80,15235,
RAW0017,2026-12-22,INDIA, Festival ,Canceled,21700,0,81 USD,13676,
RAW0018,2026-04-04, France ,Stadium-Show,POSTPONED,49800,,126,27539,
RAW0019,2026-07-18,france,stadium show , postponed,52600,, 120 ,0,
RAW0020,2026-11-04,France, Festival , COMPLETE ,29900,21620,$97,,
RAW0021,2026-02-19,U.K.,Club,completed,3400,2350,93 USD,3495,4.3
RAW0022,2026-06-05,United Kingdom ,arena show ,Complete,17200,15180,105,11231,4.5
RAW0023,2026-09-19,great britain,ARENA SHOW,Completed ,16500,12040, 105 ,0,4.5
RAW0024,2026-01-06,Germany,Stadium-Show, COMPLETE ,60200,41880,$118,0,
RAW0025,2026-04-20,GERMANY,stadium show ,completed,49400,36750,114 USD,,4.5
RAW0026,2026-08-06, Germany , Festival ,Complete,27200,19780,105,25121,4.2
RAW0027,2026-11-20,germany,FESTIVAL,Completed ,30100,22230, 107 ,21441,4.5
RAW0028,2026-03-07,Spain,arena show , COMPLETE ,15800,11760,$105,11823,
RAW0029,2026-06-21,SPAIN,ARENA SHOW,completed,14200,10970,TBD,8773,
RAW0030,2026-10-07, Spain ,Club,Complete,3900,2950,94,,4.6
RAW0031,2026-01-22,italy,stadium show ,Completed ,56300,35570, 118 ,57169,4.1
RAW0032,2026-05-08,Italy, Festival , COMPLETE ,26100,19290,$104,21941,
RAW0033,2026-08-22,ITALY,FESTIVAL,completed,29200,22240,104 USD,22721,4.2
RAW0034,2026-12-08, Italy ,stadium show ,Complete,50000,37850,120,30796,4.1
RAW0035,2026-03-18,united-states,STADIUM,Completed ,41200,39980, 88 ,,4.8
RAW0036,2026-07-04, U.S. ,FESTIVAL,CANCELLED,22800,0,$72,22234,
RAW0037,2026-10-18,USA,festival-show,cancelled ,24200,0,76 USD,21082,
RAW0038,2026-02-05, Mexico ,ARENA SHOW,Postponed ,12100,,87,0,
RAW0039,2026-05-19,mexico,Arena-Show,POSTPONED,12900,, 85 ,0,
RAW0040,2026-09-05,Mexico,club-show, COMPLETE ,3000,2980,$60,,
RAW0041,2026-12-19,MEXICO,CLUB SHOW ,completed,2500,2400,,1739,4.6
RAW0042,2026-04-06, Brazil ,FESTIVAL,Complete,23000,21240,73,0,
RAW0043,2026-07-20,brazil,festival-show,Completed ,22400,21100, 73 ,22352,4.3
RAW0044,2026-11-06,Brazil,STADIUM, COMPLETE ,41600,36770,$98,19585,
RAW0045,2026-02-21,ARGENTINA,Arena-Show,completed,11600,10260,81 USD,,4.6
RAW0046,2026-06-07, Argentina ,club-show,Complete,3100,3080,68,2434,4.9
RAW0047,2026-09-21,argentina,CLUB SHOW ,Completed ,2800,, 62 ,1739,4.8
RAW0048,2026-01-08,Colombia,FESTIVAL, COMPLETE ,22600,20660,$77,21540,
RAW0049,2026-04-22,COLOMBIA,festival-show,completed,19900,17900,68 USD,12307,4.7
RAW0050,2026-08-08, Colombia ,STADIUM,Complete,47200,40830,93,,4.6
RAW0051,2026-11-22,colombia,Stadium-Show,Completed ,45000,37180, 88 ,24174,
RAW0052,2026-03-04,Nigeria,festival-show, COMPLETE ,16600,12820,$51,9507,
RAW0053,2026-06-18,NIGERIA, Festival ,completed,14400,12710,56 USD,7512,4.7
RAW0054,2026-10-04, Nigeria ,Stadium-Show,Complete,28100,21880,71,27183,4.5
RAW0055,2026-01-19,south-africa,arena show ,Completed ,8400,6960, 64 ,,4.5
RAW0056,2026-05-05,South Africa,CLUB SHOW ,Canceled,2200,0,$36,1933,
RAW0057,2026-08-19,SOUTH AFRICA,Club,CANCELLED,1800,0,39 USD,0,
RAW0058,2026-12-05, South Africa ,arena show , postponed,7700,,TBD,7073,
RAW0059,2026-03-20,kenya, Festival ,Postponed ,15500,, 54 ,0,
RAW0060,2026-07-06,Kenya,Stadium-Show, COMPLETE ,33700,27930,$67,,
RAW0061,2026-10-20,KENYA,stadium show ,completed,30600,22660,68 USD,0,4.6
RAW0062,2026-02-07, Egypt ,CLUB SHOW ,Complete,2100,1620,36,0,
RAW0063,2026-05-21,egypt,Club,Completed ,2200,1790, 46 ,2070,
RAW0064,2026-09-07,Egypt,arena show , COMPLETE ,8600,7150,$66,5920,
RAW0065,2026-12-21,EGYPT,ARENA SHOW,completed,9600,8400,60 USD,,4.6
RAW0066,2026-04-08, Ghana ,Stadium-Show,Complete,31100,24210,67,16067,4.6
